booking_id,customer_id,room_id,check_in_date,check_out_date,num_guests,payment_status
1,3478,289,2023-10-31,2023-11-10,1,paid
2,5099,9313,2023-03-02,2023-03-06,1,pending
3,6242,5614,2023-04-11,2023-04-18,4,pending
4,1442,3395,2023-07-25,2023-07-30,4,cancelled
5,3208,5386,2023-02-12,2023-02-17,3,paid
6,3011,8439,2023-11-24,2023-11-27,2,paid
7,5327,3545,2023-06-08,2023-06-17,3,cancelled
8,3064,9759,2023-08-17,2023-08-27,2,cancelled
9,4189,9767,2023-07-28,2023-08-03,4,pending
10,5166,9008,2023-05-03,2023-05-07,3,paid
11,1955,9953,2023-09-12,2023-09-13,4,pending
12,107,7098,2023-05-28,2023-05-30,2,paid
13,1251,5300,2023-05-24,2023-05-25,2,pending
14,4281,7541,2023-09-15,2023-09-19,1,pending
15,5473,239,2023-02-24,2023-03-03,2,paid
16,8151,343,2023-04-08,2023-04-13,1,pending
17,1675,271,2023-12-12,2023-12-18,2,pending
18,9916,6503,2023-04-13,2023-04-20,3,paid
19,7610,2504,2023-02-07,2023-02-10,4,pending
20,5133,4668,2023-04-14,2023-04-21,4,pending
21,8351,7882,2023-11-09,2023-11-16,4,cancelled
22,5010,6388,2023-09-03,2023-09-06,4,cancelled
23,8419,6691,2023-12-30,2024-01-03,1,paid
24,3809,3378,2023-04-23,2023-04-26,4,cancelled
25,9191,9014,2023-03-11,2023-03-13,4,paid
26,2802,6833,2023-12-08,2023-12-16,1,cancelled
27,9285,6305,2023-02-06,2023-02-11,3,cancelled
28,1541,8849,2023-06-30,2023-07-02,3,cancelled
29,7532,5812,2023-08-05,2023-08-07,4,cancelled
30,682,3422,2023-10-06,2023-10-11,3,cancelled
31,2462,6527,2023-01-15,2023-01-22,2,paid
32,8221,7511,2023-10-17,2023-10-23,4,paid
33,5028,1387,2023-01-06,2023-01-16,4,pending
34,1146,6040,2023-11-11,2023-11-14,2,paid
35,5528,7403,2023-09-28,2023-10-08,1,cancelled
36,8269,5489,2023-01-23,2023-01-30,1,paid
37,899,3647,2023-05-27,2023-06-04,1,paid
38,3015,808,2023-03-12,2023-03-20,2,paid
39,2277,3840,2023-09-28,2023-10-04,3,cancelled
40,1596,2283,2023-10-31,2023-11-03,1,pending
41,2498,2412,2023-04-11,2023-04-12,2,paid
42,6090,9068,2023-03-18,2023-03-22,2,cancelled
43,8863,5888,2023-02-04,2023-02-06,1,paid
44,9545,8145,2023-08-29,2023-09-02,4,cancelled
45,2578,7193,2023-10-10,2023-10-18,4,pending
46,8741,2563,2023-05-06,2023-05-13,1,cancelled
47,9034,4802,2023-04-04,2023-04-07,4,pending
