room_id,hotel_id,room_type,room_number,price_per_night,availability_status
1,1,Single,100,380.38,booked
2,1,Single,101,288.63,booked
3,1,Double,102,482.8,maintenance
4,1,Single,103,414.87,maintenance
5,1,Suite,104,222.11,booked
6,1,Double,105,371.92,booked
7,1,Double,106,324.07,available
8,1,Double,107,146.61,maintenance
9,1,Double,108,474.7,available
10,1,Single,109,140.76,maintenance
11,1,Single,110,273.53,maintenance
12,1,Double,111,188.13,booked
13,1,Double,112,364.82,booked
14,1,Suite,113,305.48,available
15,1,Suite,114,420.97,booked
16,1,Double,115,350.73,maintenance
17,1,Single,116,158.23,booked
18,1,Suite,117,144.19,booked
19,1,Double,118,301.48,booked
20,1,Single,119,297.98,booked
21,1,Double,120,123.31,available
22,1,Double,121,436.59,available
23,1,Suite,122,365.05,booked
24,1,Single,123,144.13,available
25,1,Double,124,101.57,maintenance
26,1,Double,125,297.67,available
27,1,Double,126,254.72,maintenance
28,1,Double,127,163.46,maintenance
29,1,Single,128,481.41,booked
30,1,Suite,129,304.89,maintenance
31,1,Suite,130,322.79,maintenance
32,1,Double,131,464.66,booked
33,1,Double,132,376.09,available
34,1,Suite,133,472.26,available
35,1,Single,134,237.69,available
36,1,Single,135,64.12,booked
37,1,Double,136,61.8,booked
38,1,Single,137,210.77,maintenance
39,1,Suite,138,152.55,booked
40,1,Double,139,497.18,booked
41,1,Suite,140,188.59,available
42,1,Single,141,93.93,available
43,1,Suite,142,166.71,maintenance
44,1,Single,143,188.68,booked
45,1,Suite,144,491.05,maintenance
46,1,Single,145,284.04,maintenance
47,1,Suite,146,187.63,maintenance
48,1,Single,147,363.65,maintenance
49,1,Double,148,100.41,maintenance
50,1,Suite,149,368.3,booked
51,1,Suite,150,282.54,booked
52,1,Double,151,404.3,booked
53,1,Double,152,137.05,maintenance
54,1,Single,153,355.4,available
55,1,Double,154,367.5,maintenance
56,1,Double,155,185.29,booked
57,1,Double,156,396.72,available
58,1,Single,157,119.71,available
59,1,Suite,158,417.68,booked
60,1,Single,159,355.16,available
61,1,Single,160,365.07,maintenance
62,1,Single,161,271.18,available
63,1,Suite,162,247.18,maintenance
64,1,Suite,163,157.77,available
65,1,Single,164,56.23,available
66,1,Single,165,122.03,maintenance
67,1,Single,166,386.95,available
68,1,Double,167,105.07,maintenance
69,1,Suite,168,441.37,booked
70,1,Single,169,178.63,maintenance
71,1,Suite,170,413.38,available
72,1,Single,171,391.4,available
73,1,Suite,172,410.09,maintenance
74,1,Single,173,102.02,booked
75,1,Single,174,367.09,booked
76,1,Suite,175,301.15,available
77,1,Double,176,148.11,maintenance
78,1,Suite,177,499.89,booked
79,1,Single,178,191.77,booked
80,1,Single,179,298.9,maintenance
81,1,Double,180,428.55,maintenance
82,1,Double,181,346.34,maintenance
83,1,Suite,182,278.28,maintenance
84,1,Suite,183,127.49,maintenance
85,1,Double,184,153.44,available
86,1,Suite,185,152.76,maintenance
87,1,Suite,186,196.03,available
88,1,Double,187,405.66,available
89,1,Double,188,375.64,available
90,1,Double,189,454.38,booked
91,1,Double,190,252.01,maintenance
92,1,Double,191,300.48,maintenance
93,1,Single,192,406.74,available
94,1,Double,193,68.39,available
95,1,Suite,194,67.6,available
96,1,Suite,195,216.43,booked
97,1,Double,196,496.56,available
98,1,Double,197,428.76,booked
99,1,Suite,198,62.87,maintenance
100,1,Double,199,76.21,maintenance
101,2,Double,100,445.24,maintenance
102,2,Single,101,160.97,available
103,2,Suite,102,266.43,maintenance
104,2,Single,103,355.85,maintenance
105,2,Single,104,147.56,available
106,2,Double,105,91.36,booked
107,2,Double,106,283.33,available
108,2,Single,107,486.59,available
109,2,Single,108,239.27,booked
110,2,Suite,109,50.48,maintenance
111,2,Single,110,222.36,booked
112,2,Single,111,239.95,maintenance
113,2,Single,112,216.07,maintenance
114,2,Single,113,105.02,booked
115,2,Suite,114,477.47,maintenance
116,2,Suite,115,303.5,booked
117,2,Single,116,174.06,maintenance
118,2,Suite,117,241.1,available
119,2,Single,118,280.16,maintenance
120,2,Double,119,464.51,booked
121,2,Single,120,403.99,maintenance
122,2,Suite,121,388.69,available
123,2,Single,122,333.08,maintenance
124,2,Suite,123,289.2,available
125,2,Suite,124,235.29,available
126,2,Suite,125,403.85,maintenance
127,2,Suite,126,342.87,booked
128,2,Double,127,344.0,available
129,2,Suite,128,52.94,booked
130,2,Suite,129,418.19,maintenance
131,2,Single,130,311.97,booked
132,2,Suite,131,443.63,available
133,2,Single,132,359.29,available
134,2,Single,133,308.62,booked
135,2,Single,134,403.29,maintenance
136,2,Single,135,168.7,maintenance
137,2,Double,136,465.45,available
138,2,Double,137,459.29,booked
139,2,Single,138,338.33,available
140,2,Suite,139,257.1,available
141,2,Double,140,471.74,booked
142,2,Double,141,256.49,booked
143,2,Single,142,410.16,available
144,2,Single,143,252.22,available
145,2,Single,144,288.49,booked
146,2,Single,145,193.47,available
147,2,Suite,146,472.96,maintenance
148,2,Suite,147,262.9,available
149,2,Suite,148,196.91,maintenance
150,2,Suite,149,400.29,maintenance
151,2,Double,150,198.76,booked
152,2,Double,151,440.42,booked
153,2,Suite,152,223.37,booked
154,2,Double,153,468.25,booked
155,2,Double,154,269.64,available
156,2,Suite,155,474.28,available
157,2,Double,156,423.88,maintenance
158,2,Single,157,67.47,booked
159,2,Double,158,123.19,booked
160,2,Double,159,360.08,booked
161,2,Single,160,375.05,maintenance
162,2,Suite,161,249.49,available
163,2,Suite,162,463.87,maintenance
164,2,Double,163,67.51,available
165,2,Double,164,492.3,booked
166,2,Double,165,305.64,available
167,2,Single,166,480.95,booked
168,2,Suite,167,499.59,maintenance
169,2,Double,168,422.11,available
170,2,Suite,169,205.27,available
171,2,Single,170,338.95,maintenance
172,2,Double,171,112.75,booked
173,2,Single,172,283.07,available
174,2,Suite,173,166.56,available
175,2,Double,174,68.75,available
176,2,Single,175,96.11,booked
177,2,Single,176,288.72,maintenance
178,2,Suite,177,320.96,maintenance
179,2,Suite,178,441.0,available
180,2,Suite,179,185.37,maintenance
181,2,Double,180,249.16,booked
182,2,Double,181,104.57,maintenance
183,2,Single,182,148.52,maintenance
184,2,Suite,183,340.29,available
185,2,Single,184,199.63,booked
186,2,Single,185,141.18,booked
187,2,Double,186,385.91,booked
188,2,Suite,187,310.97,maintenance
189,2,Suite,188,86.13,maintenance
190,2,Double,189,56.09,available
191,2,Single,190,334.93,maintenance
192,2,Single,191,71.44,available
193,2,Single,192,157.5,available
194,2,Double,193,146.08,maintenance
195,2,Double,194,457.38,maintenance
196,2,Double,195,247.32,available
197,2,Suite,196,329.34,booked
198,2,Single,197,205.27,booked
199,2,Suite,198,293.6,booked
200,2,Double,199,159.93,available
201,3,Single,100,242.06,maintenance
202,3,Double,101,286.52,available
203,3,Suite,102,309.55,maintenance
204,3,Double,103,483.68,maintenance
205,3,Double,104,308.12,available
206,3,Suite,105,325.77,booked
207,3,Double,106,361.99,booked
208,3,Suite,107,229.98,maintenance
209,3,Single,108,420.48,booked
210,3,Suite,109,194.5,booked
211,3,Single,110,163.52,booked
212,3,Single,111,393.6,booked
213,3,Double,112,228.5,maintenance
214,3,Single,113,496.17,maintenance
215,3,Single,114,458.94,available
216,3,Suite,115,266.27,booked
217,3,Suite,116,60.94,maintenance
218,3,Suite,117,379.43,maintenance
219,3,Suite,118,378.79,available
220,3,Suite,119,332.25,maintenance
221,3,Single,120,469.62,maintenance
222,3,Double,121,416.32,booked
223,3,Single,122,70.23,available
224,3,Suite,123,178.4,booked
225,3,Single,124,415.16,available
226,3,Single,125,99.39,available
227,3,Double,126,137.71,maintenance
228,3,Single,127,270.38,maintenance
229,3,Single,128,360.48,booked
230,3,Double,129,364.7,available
231,3,Single,130,485.8,maintenance
232,3,Single,131,219.38,maintenance
233,3,Double,132,112.82,booked
234,3,Suite,133,461.44,available
235,3,Suite,134,362.42,booked
236,3,Double,135,288.2,available
237,3,Suite,136,136.98,booked
238,3,Double,137,227.59,booked
239,3,Single,138,257.72,maintenance
240,3,Single,139,443.73,available
241,3,Single,140,259.21,available
242,3,Double,141,475.48,available
243,3,Suite,142,442.46,available
244,3,Double,143,165.62,maintenance
245,3,Double,144,473.05,maintenance
246,3,Double,145,68.7,available
247,3,Double,146,120.9,available
248,3,Single,147,215.7,booked
249,3,Single,148,201.41,available
250,3,Single,149,292.3,maintenance
251,3,Single,150,152.69,booked
252,3,Suite,151,459.7,maintenance
253,3,Single,152,468.04,maintenance
254,3,Double,153,163.93,available
255,3,Suite,154,447.19,booked
256,3,Double,155,457.74,booked
257,3,Double,156,165.01,maintenance
258,3,Single,157,321.23,available
259,3,Suite,158,268.18,maintenance
260,3,Single,159,327.03,maintenance
261,3,Double,160,139.04,booked
262,3,Double,161,192.07,booked
263,3,Suite,162,144.16,booked
264,3,Suite,163,426.36,maintenance
265,3,Double,164,269.64,booked
266,3,Single,165,324.29,booked
267,3,Double,166,210.26,available
268,3,Double,167,474.25,booked
269,3,Double,168,328.82,maintenance
270,3,Suite,169,181.56,available
271,3,Double,170,357.9,booked
272,3,Single,171,317.16,maintenance
273,3,Double,172,225.72,available
274,3,Single,173,143.74,maintenance
275,3,Suite,174,259.61,maintenance
276,3,Single,175,339.75,available
277,3,Double,176,117.79,maintenance
278,3,Double,177,376.12,booked
279,3,Double,178,387.88,available
280,3,Suite,179,428.56,available
281,3,Suite,180,455.37,maintenance
282,3,Single,181,82.48,booked
283,3,Single,182,348.66,available
284,3,Single,183,296.01,maintenance
285,3,Suite,184,168.11,maintenance
286,3,Suite,185,135.18,booked
287,3,Single,186,197.06,available
288,3,Double,187,58.54,available
289,3,Double,188,272.12,available
290,3,Double,189,223.81,available
291,3,Double,190,104.84,available
292,3,Double,191,497.4,maintenance
293,3,Single,192,112.04,booked
294,3,Single,193,205.28,maintenance
295,3,Suite,194,144.63,booked
296,3,Double,195,465.37,booked
297,3,Suite,196,120.79,maintenance
298,3,Suite,197,276.07,booked
299,3,Double,198,342.35,booked
300,3,Single,199,144.94,available
301,4,Single,100,372.54,maintenance
302,4,Single,101,447.96,booked
303,4,Single,102,359.99,available
304,4,Single,103,312.92,booked
305,4,Double,104,386.28,booked
306,4,Single,105,76.49,available
307,4,Double,106,328.63,maintenance
308,4,Double,107,269.86,available
309,4,Suite,108,161.77,booked
310,4,Single,109,341.31,booked
311,4,Double,110,226.83,available
312,4,Suite,111,167.05,maintenance
313,4,Double,112,469.79,available
314,4,Suite,113,400.81,maintenance
315,4,Double,114,239.58,booked
316,4,Double,115,442.65,maintenance
317,4,Suite,116,130.12,available
318,4,Suite,117,187.95,booked
319,4,Double,118,450.33,available
320,4,Single,119,497.42,available
321,4,Single,120,420.67,available
322,4,Suite,121,78.22,available
323,4,Suite,122,489.12,booked
324,4,Suite,123,114.39,available
325,4,Single,124,427.74,maintenance
326,4,Single,125,319.85,maintenance
327,4,Suite,126,89.15,available
328,4,Single,127,485.17,maintenance
329,4,Double,128,455.47,available
330,4,Double,129,104.48,booked
331,4,Suite,130,216.49,available
332,4,Single,131,192.65,booked
333,4,Double,132,150.29,available
334,4,Suite,133,483.49,available
335,4,Suite,134,112.94,available
336,4,Single,135,98.38,booked
337,4,Suite,136,455.54,booked
338,4,Single,137,75.77,maintenance
339,4,Double,138,365.73,available
340,4,Suite,139,233.89,available
341,4,Suite,140,258.46,available
342,4,Double,141,89.21,booked
343,4,Suite,142,71.54,available
344,4,Single,143,492.28,booked
345,4,Suite,144,440.56,available
346,4,Single,145,152.2,maintenance
347,4,Single,146,129.2,booked
348,4,Single,147,90.98,maintenance
349,4,Double,148,485.15,available
350,4,Single,149,329.72,maintenance
351,4,Single,150,293.7,available
352,4,Suite,151,123.73,maintenance
353,4,Suite,152,230.07,booked
354,4,Single,153,349.83,maintenance
355,4,Single,154,145.85,available
356,4,Single,155,99.43,available
357,4,Double,156,468.09,maintenance
358,4,Single,157,395.43,available
359,4,Single,158,93.74,available
360,4,Double,159,291.11,available
361,4,Single,160,360.09,available
362,4,Suite,161,125.12,maintenance
363,4,Suite,162,468.89,maintenance
364,4,Suite,163,217.18,available
365,4,Suite,164,488.94,booked
366,4,Single,165,63.53,maintenance
367,4,Suite,166,132.61,maintenance
368,4,Suite,167,331.53,booked
369,4,Double,168,112.19,available
370,4,Double,169,268.76,booked
371,4,Double,170,289.41,maintenance
372,4,Double,171,445.54,maintenance
373,4,Single,172,472.07,maintenance
374,4,Double,173,370.64,maintenance
375,4,Double,174,299.15,available
376,4,Single,175,315.4,maintenance
377,4,Single,176,103.03,maintenance
378,4,Suite,177,378.22,available
379,4,Single,178,446.79,maintenance
380,4,Double,179,156.38,maintenance
381,4,Single,180,91.91,available
382,4,Suite,181,125.27,maintenance
383,4,Suite,182,378.17,available
384,4,Suite,183,340.12,available
385,4,Double,184,78.26,maintenance
386,4,Single,185,224.08,booked
387,4,Single,186,315.15,maintenance
388,4,Suite,187,210.78,maintenance
389,4,Single,188,151.46,available
390,4,Single,189,121.75,booked
391,4,Suite,190,281.46,booked
392,4,Suite,191,135.44,booked
393,4,Double,192,380.53,available
394,4,Suite,193,474.26,maintenance
395,4,Single,194,79.14,booked
396,4,Double,195,209.38,booked
397,4,Double,196,221.83,maintenance
398,4,Double,197,420.19,maintenance
399,4,Double,198,470.49,booked
400,4,Single,199,206.15,maintenance
401,5,Double,100,187.67,booked
402,5,Double,101,212.79,maintenance
403,5,Double,102,97.42,available
404,5,Suite,103,250.87,booked
405,5,Suite,104,330.53,maintenance
406,5,Single,105,261.52,available
407,5,Double,106,82.67,maintenance
408,5,Single,107,116.11,booked
409,5,Single,108,318.99,available
410,5,Double,109,293.93,available
411,5,Single,110,130.32,booked
412,5,Suite,111,221.76,booked
413,5,Suite,112,359.99,booked
414,5,Suite,113,366.24,booked
415,5,Single,114,275.9,booked
416,5,Single,115,130.48,available
417,5,Suite,116,101.23,maintenance
418,5,Single,117,262.5,maintenance
419,5,Double,118,244.28,booked
420,5,Suite,119,258.67,booked
421,5,Double,120,223.04,booked
422,5,Single,121,405.68,available
423,5,Double,122,94.83,maintenance
424,5,Single,123,73.27,maintenance
425,5,Single,124,327.03,maintenance
426,5,Suite,125,157.27,maintenance
427,5,Suite,126,180.93,maintenance
428,5,Single,127,132.9,maintenance
429,5,Double,128,96.42,maintenance
430,5,Double,129,470.3,available
431,5,Suite,130,83.03,maintenance
432,5,Suite,131,222.9,booked
433,5,Suite,132,249.66,maintenance
434,5,Double,133,475.76,booked
435,5,Suite,134,358.4,booked
436,5,Double,135,87.96,maintenance
437,5,Double,136,216.19,booked
438,5,Single,137,205.08,maintenance
439,5,Double,138,281.08,maintenance
440,5,Single,139,403.66,booked
441,5,Suite,140,405.13,booked
442,5,Double,141,165.16,available
443,5,Double,142,207.34,booked
444,5,Double,143,190.75,booked
445,5,Single,144,319.09,available
446,5,Suite,145,488.34,booked
447,5,Single,146,87.25,available
448,5,Double,147,401.68,maintenance
449,5,Suite,148,269.17,maintenance
450,5,Double,149,349.39,maintenance
451,5,Double,150,450.93,booked
452,5,Double,151,290.79,available
453,5,Single,152,177.76,maintenance
454,5,Suite,153,328.1,available
455,5,Suite,154,293.3,maintenance
456,5,Double,155,419.8,booked
457,5,Double,156,439.17,booked
458,5,Single,157,314.23,available
459,5,Suite,158,209.55,maintenance
460,5,Suite,159,321.38,available
461,5,Suite,160,102.11,booked
462,5,Double,161,366.3,available
463,5,Single,162,163.06,maintenance
464,5,Single,163,51.2,maintenance
465,5,Suite,164,221.54,maintenance
466,5,Suite,165,395.26,maintenance
467,5,Double,166,329.59,maintenance
468,5,Single,167,187.03,maintenance
469,5,Suite,168,318.29,maintenance
470,5,Single,169,170.49,available
